"monyear","CompositeN.x","p03_POR","p03_2008great","greater2008","p03_Selected","p50_all","pe03_all","MONID.x","summarized.x","MONID.y","CompositeN.y","excmnbx","excwldp","exc0307","exclesspt5s","excless1s","excless2s","XericRatio","XericFlagG","connected","TypeWorL","CompositeTimeSeriesName","NotDevelopmentDataset","TBSiteID","TBCompositeID","compositetsname","augstatus","acres","depth","wellfield","eco1990_2002","eco2003_2007","eco2008_2014","rfwha1998","rfwha2016","TBWName1","SWFWMDName1","proposedtype","connectedbutkeep","augmentdistrict","maybemesic","assessedasunmon","ecoscombined","sasddncombined","npresorun","summarized.y","olderoffset"
"10_1996_2002","10_CBR Q12_",74.0437,74.0194,NA,74.0437,71.31,-2.7337,10,"1996_2002",10,"10_CBR Q12_",NA,NA,NA,NA,NA,NA,0.324147531,1,"Conditionally Connected","wetland","CBR-Q12",NA,4872,NA,NA,"None",15.08251712,3.55,"CBR","NS","NS","NS",1,1,"CBR Q12",NA,"Connected",1,NA,NA,NA,"NS",0.803841233,75.3,"1996_2002",-2.7337
"10_2003_2007","10_CBR Q12_",74.0437,74.0194,NA,74.0437,73.14,-0.9037,10,"2003_2007",10,"10_CBR Q12_",NA,NA,1,NA,NA,NA,0.324147531,1,"Conditionally Connected","wetland","CBR-Q12",NA,4872,NA,NA,"None",15.08251712,3.55,"CBR","NS","NS","NS",1,1,"CBR Q12",NA,"Connected",1,NA,NA,NA,"NS",0.357782632,75.3,"2003_2007",-0.9037
"10_2008_2014","10_CBR Q12_",74.0437,74.0194,NA,74.0437,72.555,-1.4887,10,"2008_2014",10,"10_CBR Q12_",NA,NA,NA,NA,NA,NA,0.324147531,1,"Conditionally Connected","wetland","CBR-Q12",NA,4872,NA,NA,"None",15.08251712,3.55,"CBR","NS","NS","NS",1,1,"CBR Q12",NA,"Connected",1,NA,NA,NA,"NS",0.380731,75.3,"2008_2014",-1.4887
"13_1996_2002","13_CBR Q16_",72.904,73.077,1,73.077,68.055,-5.022,13,"1996_2002",13,"13_CBR Q16_",NA,NA,NA,NA,NA,NA,0.572943787,1,"Conditionally Connected","wetland","CBR-Q16",NA,4875,1535,"CBR-Q16","None",6.369533883,4.07,"CBR","S","S","S?",0,0,"CBR Q16",NA,"Xeric Isolated Marsh",NA,NA,NA,NA,"S",4.589116573,73.7,"1996_2002",-5.022
"13_2003_2007","13_CBR Q16_",72.904,73.077,1,73.077,70.87,-2.207,13,"2003_2007",13,"13_CBR Q16_",NA,NA,1,NA,NA,NA,0.572943787,1,"Conditionally Connected","wetland","CBR-Q16",NA,4875,1535,"CBR-Q16","None",6.369533883,4.07,"CBR","S","S","S?",0,0,"CBR Q16",NA,"Xeric Isolated Marsh",NA,NA,NA,NA,"S",2.844028234,73.7,"2003_2007",-2.207
"13_2008_2014","13_CBR Q16_",72.904,73.077,1,73.077,71.18,-1.897,13,"2008_2014",13,"13_CBR Q16_",NA,NA,NA,NA,NA,NA,0.572943787,1,"Conditionally Connected","wetland","CBR-Q16",NA,4875,1535,"CBR-Q16","None",6.369533883,4.07,"CBR","S","S","S?",0,0,"CBR Q16",NA,"Xeric Isolated Marsh",NA,NA,NA,NA,NA,2.66538,73.7,"2008_2014",-1.897
"14_1996_2002","14_CBR Q17_",74.4316,74.0506,NA,74.4316,68.415,-6.0166,14,"1996_2002",14,"14_CBR Q17_",NA,NA,NA,NA,NA,NA,0.670266938,1,"Conditionally Connected","wetland","CBR-Q17",NA,4876,1536,"CBR-Q17","None",16.72822402,11.19,"CBR","S","S","S",0,0,"CBR Q17",NA,"Xeric Isolated Marsh",NA,NA,NA,NA,"S",3.31521368,75.6,"1996_2002",-6.0166
"14_2003_2007","14_CBR Q17_",74.4316,74.0506,NA,74.4316,72.665,-1.7666,14,"2003_2007",14,"14_CBR Q17_",NA,NA,1,NA,NA,1,0.670266938,1,"Conditionally Connected","wetland","CBR-Q17",NA,4876,1536,"CBR-Q17","None",16.72822402,11.19,"CBR","S","S","S",0,0,"CBR Q17",NA,"Xeric Isolated Marsh",NA,NA,NA,NA,"S",1.991481185,75.6,"2003_2007",-1.7666
"14_2008_2014","14_CBR Q17_",74.4316,74.0506,NA,74.4316,72.08,-2.3516,14,"2008_2014",14,"14_CBR Q17_",NA,NA,NA,NA,NA,NA,0.670266938,1,"Conditionally Connected","wetland","CBR-Q17",NA,4876,1536,"CBR-Q17","None",16.72822402,11.19,"CBR","S","S","S",0,0,"CBR Q17",NA,"Xeric Isolated Marsh",NA,NA,NA,NA,"S",2.10324,75.6,"2008_2014",-2.3516
"21_2003_2007","21_CBR Q24_CBARWF TQ-1 West",75.7418,75.7796,1,75.7796,74.06,-1.7196,21,"2003_2007",21,"21_CBR Q24_CBARWF TQ-1 West",NA,NA,1,NA,NA,NA,0.92604982,1,"Conditionally Connected","wetland","CBR-Q24",1,4883,1543,"CBR-Q24","?",1.483624711,2.41,"CBR","NS","NS","NS",1,1,"CBR Q24","CBARWF TQ-1 West","Xeric Isolated Cypress",NA,1,NA,NA,"NS",0.748874485,75,"2003_2007",-1.7196
"21_2008_2014","21_CBR Q24_CBARWF TQ-1 West",75.7418,75.7796,1,75.7796,74.06,-1.7196,21,"2008_2014",21,"21_CBR Q24_CBARWF TQ-1 West",NA,NA,NA,NA,NA,NA,0.92604982,1,"Conditionally Connected","wetland","CBR-Q24",1,4883,1543,"CBR-Q24","?",1.483624711,2.41,"CBR","NS","NS","NS",1,1,"CBR Q24","CBARWF TQ-1 West","Xeric Isolated Cypress",NA,1,NA,NA,"NS",0.814605,75,"2008_2014",-1.7196
"25_1996_2002","25_CBR Q28_Crews Lake",54.858,53.4892,NA,54.858,48.86,-5.998,25,"1996_2002",25,"25_CBR Q28_Crews Lake",NA,NA,NA,NA,NA,NA,0.576423,1,"Connected","lake","CBR-Q28",NA,NA,NA,NA,NA,493.377477,NA,"CBR","S","?","?",NA,NA,"CBR Q28","Crews Lake","Transitional Isolated Lake",NA,NA,NA,NA,"S",NA,52.8,"1996_2002",-5.998
"25_2003_2007","25_CBR Q28_Crews Lake",54.858,53.4892,NA,54.858,50.57,-4.288,25,"2003_2007",25,"25_CBR Q28_Crews Lake",NA,NA,1,NA,NA,NA,0.576423,1,"Connected","lake","CBR-Q28",NA,NA,NA,NA,NA,493.377477,NA,"CBR","S","?","?",NA,NA,"CBR Q28","Crews Lake","Transitional Isolated Lake",NA,NA,NA,NA,NA,NA,52.8,"2003_2007",-4.288
"25_2008_2014","25_CBR Q28_Crews Lake",54.858,53.4892,NA,54.858,48.275,-6.583,25,"2008_2014",25,"25_CBR Q28_Crews Lake",NA,NA,NA,NA,NA,NA,0.576423,1,"Connected","lake","CBR-Q28",NA,NA,NA,NA,NA,493.377477,NA,"CBR","S","?","?",NA,NA,"CBR Q28","Crews Lake","Transitional Isolated Lake",NA,NA,NA,NA,NA,NA,52.8,"2008_2014",-6.583
"339_1996_2002","339_NP-04_",45.1031,44.7944,NA,45.1031,40.795,-4.3081,339,"1996_2002",339,"339_NP-04_",NA,NA,NA,1,1,1,0.813406847,1,"Conditionally Connected","wetland","NOP-04",NA,5372,3190,"NOP-04","None",1.168215795,2.84,"NOP","S","S","NS",1,1,"NP-04",NA,"Xeric Isolated Cypress",NA,NA,NA,NA,"S",0.465084553,44.6,"1996_2002",-4.3081
"339_2003_2007","339_NP-04_",45.1031,44.7944,NA,45.1031,42.065,-3.0381,339,"2003_2007",339,"339_NP-04_",NA,NA,1,NA,1,1,0.813406847,1,"Conditionally Connected","wetland","NOP-04",NA,5372,3190,"NOP-04","None",1.168215795,2.84,"NOP","S","S","NS",1,1,"NP-04",NA,"Xeric Isolated Cypress",NA,NA,NA,NA,"S",0.569959879,44.6,"2003_2007",-3.0381
"339_2008_2014","339_NP-04_",45.1031,44.7944,NA,45.1031,42.25,-2.8531,339,"2008_2014",339,"339_NP-04_",NA,NA,NA,NA,NA,NA,0.813406847,1,"Conditionally Connected","wetland","NOP-04",NA,5372,3190,"NOP-04","None",1.168215795,2.84,"NOP","S","S","NS",1,1,"NP-04",NA,"Xeric Isolated Cypress",NA,NA,NA,NA,"NS",0.10508,44.6,"2008_2014",-2.8531
